id,description,categorie_id,description_sommaire,prix_liste,prix_unitaire,quantite_min,date_mise_a_jour,fournisseur_id,code_fournisseur
753,"LASER  21-108-408-3  ACIER     1/2""",29,ACIER,15.55,,,2021-06-01,,21-108-408-3
754,LASER  21-108-408-4  ACIER     3/8'',29,ACIER,7.3,,,2021-06-01,,21-108-408-4
755,LASER  21-108-408-6  ACIER     1/4'',29,ACIER,3.65,,,2021-06-01,,21-108-408-6
756,LASER  21-108-408-7  ACIER     1/2'',29,ACIER,7.25,,,2021-06-01,,21-108-408-7
757,LASER  21-108-413-2  ACIER 50W     1/2''    3.5    4.5,29,ACIER 50W,10.65,,,2021-06-29,,21-108-413-2
758,LASER  21-108-413-3  ACIER 50W     1    2    2.5,29,ACIER 50W,9.95,,,2021-06-29,,21-108-413-3
759,LASER  21-108-413-4  ACIER 50W     1/2''    4.25    4.25,29,ACIER 50W,12.75,,,2021-06-29,,21-108-413-4
760,LASER  21-108-414-2  ACIER 50W     1    2    2.5,29,ACIER 50W,9.95,,,2021-06-29,,21-108-414-2
761,LASER  21-108-414-3  ACIER 50W     1/2''    3.5    4.25,29,ACIER 50W,11.15,,,2021-06-29,,21-108-414-3
762,LASER  21-108-414-4  ACIER 50W     1/4''    5.16    5.16,29,ACIER 50W,10.35,,,2021-06-29,,21-108-414-4
763,LASER  21-108-414-5  ACIER 50W     3/4''    5.16    5.16,29,ACIER 50W,19.6,,,2021-06-29,,21-108-414-5
764,LASER  21-108-414-6  ACIER 50W     1/4''    5.16    5.16,29,ACIER 50W,10,,,2021-06-29,,21-108-414-6
765,21-116-006-11.DXF LASER   21-116-006-11.DXF  ACIER 50W     0.5    2    2,29,ACIER 50W,3.05,,,2022-01-17,,21-116-006-11.DXF
766,21-116-006-13.DXF LASER   21-116-006-13.DXF  ACIER 50W     0.125     42.25     34,29,ACIER 50W,83.45,,,2022-01-17,,21-116-006-13.DXF
767,LASER   21-116-006-15.DXF  ACIER 50W     0.125     34.25     34,29,ACIER 50W,69.05,,,2022-01-17,,21-116-006-15.DXF
768,21-116-006-17.DXF LASER  21-116-006-17.DXF  ACIER 50W     0.5     10.75     9,29,ACIER 50W,27.2,,,2022-01-17,,21-116-006-17.DXF
769,21-116-006-18.DXF LASER  21-116-006-18.DXF  ACIER 50W     0.25     6.92     4.5,29,ACIER 50W,9.4,,,2022-01-17,,21-116-006-18.DXF
770,21-116-006-21.DXF LASER  21-116-006-21.DXF  ACIER 50W     0.5     2.5     2.5,29,ACIER 50W,4.25,,,2022-01-17,,21-116-006-21.DXF
771,21-116-006-23.DXF LASER + PLIAGE  21-116-006-23.DXF  ACIER 50W     0.063     10.784     8.651,30,ACIER 50W,23.35,,,2022-01-17,,21-116-006-23.DXF
772,21-116-006-24.DXF LASER  21-116-006-24.DXF  ACIER 50W     0.5     11    4,29,ACIER 50W,15.55,,,2022-01-17,,21-116-006-24.DXF
773,21-116-006-26.DXF LASER + PLIAGE  21-116-006-26.DXF  ACIER 50W     0.125    33.5    6.816,30,ACIER 50W,23.75,,,2022-01-17,,21-116-006-26.DXF
774,21-116-006-27.DXF LASER  21-116-006-27.DXF  ACIER 50W     0.5     2.569     1.569,29,ACIER 50W,4.4,,,2022-01-17,,21-116-006-27.DXF
775,21-116-006-28.DXF LASER  21-116-006-28.DXF  ACIER 50W     0.125     41.938     34,29,ACIER 50W,81.65,,,2022-01-17,,21-116-006-28.DXF
776,21-116-006-7.DXF LASER  21-116-006-7.DXF  ACIER 50W     0.125     2.545     1.545,29,ACIER 50W,3.05,,,2022-01-17,,21-116-006-7.DXF
777,21-116-014-10.DXF LASER  21-116-014-10.DXF  ACIER 50W     0.5    10    36.25,29,ACIER 50W,84.65,,,2022-01-17,,21-116-014-10.DXF
778,21-116-014-13.DXF LASER  21-116-014-13.DXF  ACIER 50W     0.25    2.76    6.4,29,ACIER 50W,7.8,,,2022-01-17,,21-116-014-13.DXF
779,21-116-014-15.DXF LASER + PLIAGE  21-116-014-15.DXF  ACIER 50W     0.125    6.5    30.2,30,ACIER 50W,22.55,,,2022-01-17,,21-116-014-15.DXF
780,21-116-014-16.DXF LASER + PLIAGE  21-116-014-16.DXF  ACIER 50W     0.125    3.5    19.2,30,ACIER 50W,20.05,,,2022-01-17,,21-116-014-16.DXF
781,21-116-014-17.DXF LASER  21-116-014-17.DXF  ACIER 50W     0.25    3    7.5,29,ACIER 50W,8.15,,,2022-01-17,,21-116-014-17.DXF
782,21-116-014-18.DXF LASER + PLIAGE  21-116-014-18.DXF  ACIER 50W     0.125    20    7.2,30,ACIER 50W,19.3,,,2022-01-17,,21-116-014-18.DXF
783,21-116-014-19.DXF LASER  21-116-014-19.DXF  ACIER 50W     0.5    7.5    3,29,ACIER 50W,11.1,,,2022-01-17,,21-116-014-19.DXF
