id,description,categorie_id,description_sommaire,prix_liste,prix_unitaire,quantite_min,date_mise_a_jour,fournisseur_id,code_fournisseur
1,*,1,,,,,,,-
2,*,1,,,,,,,-
3,*,1,,,,,,,-
4,*,1,,,,,,,-
5,*,1,,,,,,,-
6,*,1,,,,,,,-
7,*,1,,,,,,,-
8,*,1,,,,,,,-
9,ACCESSOIR    ARMOIR ACIER BEIGE 5 TABLETTE,2,ARMOIR ACIER BEIGE 5 TABLETTE,,,,,,-
10,ACCESSOIR    ARMOIR DESSERTE,2,ARMOIR DESSERTE,,,,,,-
11,ACCESSOIR    CAFETIERE,2,CAFETIERE,,,,,,-
12,ACCESSOIR    CHAISE DE TABLE,2,CHAISE DE TABLE,,,,,,-
13,ACCESSOIR    CLAMP WASHER DEWALT,2,CLAMP WASHER DEWALT,60.78,,,2018-05-08,,619688-00
14,ACCESSOIR    CLASSEUR D ATELIER 4 TIRROIRE,2,CLASSEUR D ATELIER 4 TIRROIRE,,,,,,
15,ACCESSOIR    DRUM POUR HUILE A TREMPE,2,DRUM POUR HUILE A TREMPE,,,,,,
16,ACCESSOIR    ETAGERE EN ACIER BLEU,2,ETAGERE EN ACIER BLEU,,,,,,
17,ACCESSOIR    ETAGERE EN ACIER ORANGE,2,ETAGERE EN ACIER ORANGE,,,,,,
18,ACCESSOIR    ETAGERE POUR ACIER (ARBRE DE NOEL),2,ETAGERE POUR ACIER (ARBRE DE NOEL),,,,,,
19,ACCESSOIR    FRIGO,2,FRIGO,,,,,,
20,"ACCESSOIR    GASKET DE CYLINDRE 8"" TA-ME3-8X2.5-KK1",2,"GASKET DE CYLINDRE 8"" TA-ME3-8X2.5-KK1",132.8,,,2019-10-25,,SK137-800 KIT
21,ACCESSOIR    INNER WASHER DEWALT,2,INNER WASHER DEWALT,122,,,2018-05-08,,613801-00
22,ACCESSOIR    KIT DE GASKET POUR MSR-MF1-6X2X2S,2,KIT DE GASKET POUR MSR-MF1-6X2X2S,142.4889,,,2021-05-17,,MSESK137-600-2S SEAL KIT
23,ACCESSOIR    MICRO-ONDE,2,MICRO-ONDE,,,,,,
24,ACCESSOIR    NUT POUR FLANGE DEWALT,2,NUT POUR FLANGE DEWALT,9.19,,,2018-05-08,,093290-00
25,ACCESSOIR    SCREW 1-72 oval x .090 LG.-T6 #195010 VENDU QTE 5 (POUR PASTILLECDCD),2,SCREW 1-72 oval x .090 LG.-T6 #195010 VENDU QTE 5 (POUR PASTILLECDCD),3.83,,,2019-10-29,,50182
26,ACCESSOIR    SPLIT LOOM TUBING 1 1/2''DIA. 50 PIEDS TECHSPAN,2,SPLIT LOOM TUBING 1 1/2''DIA. 50 PIEDS TECHSPAN,49.14,,,2018-08-23,,769879
27,ACCESSOIR    TABLE D ASSEMBLAGE,2,TABLE D ASSEMBLAGE,,,,,,
28,ACCESSOIR    TABLE D ASSEMBLAGE BASSE,2,TABLE D ASSEMBLAGE BASSE,,,,,,
29,ACCESSOIR    TABLE DE REPOS,2,TABLE DE REPOS,,,,,,
30,ACCESSOIR    TABLE DE SCIE A MEULE,2,TABLE DE SCIE A MEULE,,,,,,
31,ACCESSOIR    TABLE POUR FOUR,2,TABLE POUR FOUR,,,,,,
32,ACCESSOIR    TABLE POUR SABLEUSE,2,TABLE POUR SABLEUSE,,,,,,
33,ACCESSOIR    TEST,2,TEST,,,,,,-
34,ACIER CHROME    ROND MM    20            240,3,ROND MM,196.32,,,2021-06-14,,27487
35,ACIER INDUCTION/CHROME    ROND    0.5            240,4,ROND,110.4,,,2019-08-16,,31129
36,ACIER INDUCTION/CHROME    ROND    0.625            240,4,ROND,174.48,,,2021-06-07,,79928
37,ACIER INDUCTION/CHROME    ROND  MM    25            240,4,ROND  MM,271.68,,,2021-11-12,,82862
38,ACIER INDUCTION/CHROME    ROND MM    15            240,4,ROND MM,132.4,,,2021-06-14,,00816
39,ACIER INDUCTION/CHROME    ROND MM    30            240,4,ROND MM,359.76,,,2021-06-14,,82532
40,ACIER LAMINE @ CHAUD    1/2 -20F DÉPLOYÉ APLATI    48 X 96,5,1/2 -20F DÉPLOYÉ APLATI,139,,,2021-08-04,,26245
41,ACIER LAMINE @ CHAUD    1/4 -20F DÉPLOYÉ APLATI    48 X 96,5,1/4 -20F DÉPLOYÉ APLATI,255,,,2021-08-04,,59484
42,ACIER LAMINE @ CHAUD    1-1/2 #10 metal déployé    48 X 96,5,1-1/2 #10 metal déployé,151,,,2021-08-18,,09917
43,ACIER LAMINE @ CHAUD    CORNIERE    1    1    0.125    240,5,CORNIERE,13.112,,,2021-06-07,,38524
44,"ACIER LAMINE @ CHAUD    CORNIERE    1.5    1,5    0.188    240",5,CORNIERE,21.69,,,2018-05-02,,38642
45,"ACIER LAMINE @ CHAUD    CORNIERE    1.5    1,500    0.125    240",5,CORNIERE,16.6,,,2021-01-21,,38638
46,"ACIER LAMINE @ CHAUD    CORNIERE    1.5    1,500    0.25    240",5,CORNIERE,28.32,,,2018-05-02,,38646
47,ACIER LAMINE @ CHAUD    CORNIERE    2    1 1/2    0.188    240,5,CORNIERE,32.55,,,2018-07-20,,38052
48,ACIER LAMINE @ CHAUD    CORNIERE    2    2    0.125    240,5,CORNIERE,28.644,,,2021-12-01,,38688
49,ACIER LAMINE @ CHAUD    CORNIERE    2    2    0.25    240,5,CORNIERE,42.495,,,2021-01-21,,38700
50,ACIER LAMINE @ CHAUD    CORNIERE    2    3    0.188    240,5,CORNIERE,42.949,,,2021-02-16,,26515
51,ACIER LAMINE @ CHAUD    CORNIERE    2.5    2    0.188    240,5,CORNIERE,65,,,2020-12-04,,38078
52,ACIER LAMINE @ CHAUD    CORNIERE    2.5    2    0.375    240,5,CORNIERE,91.107,,,2020-09-17,,38122
53,ACIER LAMINE @ CHAUD    CORNIERE    3    3    0.188    240,5,CORNIERE,54.465,,,2021-06-16,,26616
54,ACIER LAMINE @ CHAUD    CORNIERE    4    4    25    240,5,CORNIERE,98.47,,,2021-06-16,,22955
55,ACIER LAMINE @ CHAUD    H BEAM     6@15             240,5,H BEAM,188.18,,,01-28-2016,,78123
56,ACIER LAMINE @ CHAUD    i BEAM     8@18.4            360,5,i BEAM,601.4,,,2021-06-02,,76681
57,ACIER LAMINE @ CHAUD    i BEAM     8@18.4            480,5,i BEAM,772.43,0.727,,2021-06-02,,78034
58,ACIER LAMINE @ CHAUD    PLAT    0.125    1        240,5,PLAT,9.48,1.1320000000000001,,2021-06-16,,10548
59,"ACIER LAMINE @ CHAUD    PLAT    0.125    1,5        240",5,PLAT,9.2,,,2018-10-05,,43791
60,ACIER LAMINE @ CHAUD    PLAT    0.125    2        240,5,PLAT,18.955,,,2021-06-16,,10556
61,"ACIER LAMINE @ CHAUD    PLAT    0.125    2,5        240",5,PLAT,14.6,,,2018-06-15,,10558
62,ACIER LAMINE @ CHAUD    PLAT    0.125    3        240,5,PLAT,28.435,1.0625,,2021-06-16,,10560
63,"ACIER LAMINE @ CHAUD    PLAT    0.25    1,000        240",5,PLAT,12.55,0.6291666666666667,,2021-06-16,,47140
64,"ACIER LAMINE @ CHAUD    PLAT    0.25    1,500        240",5,PLAT,18.9725,0.05463333333333333,,2021-06-16,,46070
65,ACIER LAMINE @ CHAUD    PLAT    0.25    2        240,5,PLAT,25.295,0.09037500000000001,,2021-06-16,,47002
66,"ACIER LAMINE @ CHAUD    PLAT    0.25    2,500        240",5,PLAT,28.17,0.06916666666666667,,2018-06-15,,49164
67,ACIER LAMINE @ CHAUD    PLAT    0.25    3        240,5,PLAT,37.5875,0.11800000000000001,,2021-06-16,,43034
68,ACIER LAMINE @ CHAUD    PLAT    0.25    3        240,5,PLAT,25.47,0.135625,,2017-12-22,,43034
69,"ACIER LAMINE @ CHAUD    PLAT    0.25    4,000        244",5,PLAT,50.116,0.11935,,2021-06-16,,47170
70,"ACIER LAMINE @ CHAUD    PLAT    0.25    5,000        244",5,PLAT,62.39,0.17706249999999998,,2021-06-16,,47004
71,ACIER LAMINE @ CHAUD    PLAT    0.3125    3        240,5,PLAT,57.57,0.17895416666666666,,2020-10-07,,38188
72,ACIER LAMINE @ CHAUD    PLAT    0.375    2        240,5,PLAT,29.55,0.2708333333333333,,2020-10-07,,38212
73,ACIER LAMINE @ CHAUD    PLAT    0.375    3        240,5,PLAT,64.72,0.3796125,,2021-11-12,,38218
74,ACIER LAMINE @ CHAUD    PLAT    0.375    4        240,5,PLAT,59.11,0.22693750000000001,,2020-10-07,,38230
75,ACIER LAMINE @ CHAUD    PLAT    0.375    6        240,5,PLAT,124.85,0.27352777777777776,,2021-11-12,,38244
76,ACIER LAMINE @ CHAUD    PLAT    0.5    2        240,5,PLAT,38.5,0.3920416666666667,,2019-04-10,,38300
77,ACIER LAMINE @ CHAUD    PLAT    0.5    3        240,5,PLAT,76.3,2.5058333333333334,,2021-06-16,,38312
78,ACIER LAMINE @ CHAUD    PLAT    0.5    4        240,5,PLAT,103.0875,3.218458333333333,,2021-06-16,,38316
79,ACIER LAMINE @ CHAUD    PLAT    0.5    6        240,5,PLAT,154.63,0.0395,,2021-06-16,,38326
80,ACIER LAMINE @ CHAUD    PLAT    0.5    8        240,5,PLAT,221.95,0.03833333333333333,,2021-06-16,,38332
81,"ACIER LAMINE @ CHAUD    PROF. ''U''    4    5,4        240",5,PROF. ''U'',50.22,0.07897916666666666,,2017-08-14,,22937
82,ACIER LAMINE @ CHAUD    ROND                240,5,ROND,25.94,0.06083333333333333,,03-09-2017,,05976
83,ACIER LAMINE @ CHAUD    ROND    0.5            240,5,ROND,11.25,0.11847916666666666,,2016-09-20,,11334
84,ACIER LAMINE @ CHAUD    ROND    0.625            240,5,ROND,14.33,0.05229166666666667,,2018-11-23,,37646
85,ACIER LAMINE @ CHAUD    ROND    1            240,5,ROND,48.23,0.07905208333333333,,2017-12-01,,11416
86,"ACIER LAMINE @ CHAUD    TUBE    2    2,000    0.125    288",5,TUBE,32.81,0.10539583333333334,,2016-01-11,,67618
87,ACIER LAMINE @ CHAUD    TUBE    3/4 C½D 80 XH NOIR A53,5,TUBE,57.96,0.11737500000000001,,2021-08-04,,17672
88,ACIER LAMINE @ CHAUD    TUBE ACIER A FREIN AVEC COATING 3/16 ROLL 25'                300,5,TUBE ACIER A FREIN AVEC COATING 3/16 ROLL 25',12.93,0.15404713114754098,,2016-03-14,,TUBE_BRACK_3/16
89,ACIER LAMINE @ CHAUD    TUBE CARRE    1    1    0.1    288,5,TUBE CARRE,41.086,0.10438524590163933,,2021-08-04,,67576
90,ACIER LAMINE @ CHAUD    TUBE CARRE    1    1    0.125    288,5,TUBE CARRE,46.94375,0.20881666666666668,,2021-11-12,,67600
91,"ACIER LAMINE @ CHAUD    TUBE CARRE    1.25    1,25    0.1    288",5,TUBE CARRE,21.94,0.25995833333333335,,2016-04-22,,67602
92,"ACIER LAMINE @ CHAUD    TUBE CARRE    1.25    1,250    0.125    288",5,TUBE CARRE,22.59,0.239875,,2016-02-01,,67604
93,"ACIER LAMINE @ CHAUD    TUBE CARRE    1.5    1,5    0.1    288",5,TUBE CARRE,58.558,0.123125,,2021-06-16,,67606
94,"ACIER LAMINE @ CHAUD    TUBE CARRE    1.5    1,500    0.125    288",5,TUBE CARRE,47.65,0.26966666666666667,,2016-01-11,,67608
95,"ACIER LAMINE @ CHAUD    TUBE CARRE    1.5    1,500    0.188    288",5,TUBE CARRE,38.83,0.24629166666666666,,2016-02-01,,67612
96,ACIER LAMINE @ CHAUD    TUBE CARRE    2    2    0.1    288,5,TUBE CARRE,83.08,0.5202083333333333,,2021-06-16,,67614
97,ACIER LAMINE @ CHAUD    TUBE CARRE    2    2    0.188    288,5,TUBE CARRE,139.36,0.16041666666666668,,2021-06-16,,67622
98,ACIER LAMINE @ CHAUD    TUBE CARRE    2    2    0.25    288,5,TUBE CARRE,78.52,0.3179166666666667,,2017-08-14,,67624
99,"ACIER LAMINE @ CHAUD    TUBE CARRE    2    2,000    0.1    288",5,TUBE CARRE,30.85,0.42953125000000003,,2016-04-22,,67614
100,ACIER LAMINE @ CHAUD    TUBE CARRE    3    3    0.188    288,5,TUBE CARRE,221.77,0.6442916666666666,,2021-06-16,,67102
101,"ACIER LAMINE @ CHAUD    TUBE CARRE    3    3,000    0.125    288",5,TUBE CARRE,103.68,0.9247916666666666,,2018-05-22,,67632
102,ACIER LAMINE @ CHAUD    TUBE CARRE    4    4    0.25    288,5,TUBE CARRE,404.195,0.20925,,2021-06-16,,67654
103,"ACIER LAMINE @ CHAUD    TUBE CARRE    6    6,000    0.188    288",5,TUBE CARRE,482.135,0.10808333333333334,,2021-06-16,,67800
104,"ACIER LAMINE @ CHAUD    TUBE CARRE    6    6,000    0.375    288",5,TUBE CARRE,382.18,0.046875,,2020-09-17,,67804
105,ACIER LAMINE @ CHAUD    TUBE CARRE    8    8    0.25    288,5,TUBE CARRE,935.445,0.049756944444444444,,2021-11-12,,68282
106,ACIER LAMINE @ CHAUD    TUBE REC    10    4    0.375    288,5,TUBE REC,912.59,,,2020-11-23,,26415
107,ACIER LAMINE @ CHAUD    TUBE REC    2    1    0.125    288,5,TUBE REC,80.54,0.10936666666666667,,2021-09-03,,67668
108,ACIER LAMINE @ CHAUD    TUBE REC    3    1    0.125    288,5,TUBE REC,111.6326,0.20125,,2021-11-12,,79520
109,ACIER LAMINE @ CHAUD    TUBE REC    3    2    0.125    288,5,TUBE REC,134.134,0.16299913194444446,,2021-11-12,,67678
110,ACIER LAMINE @ CHAUD    TUBE REC    3    2    0.188    288,5,TUBE REC,76.45,0.07618055555555556,,2017-08-14,,67680
111,ACIER LAMINE @ CHAUD    TUBE REC    3    2    0.25    288,5,TUBE REC,102.98,0.0784375,,2017-08-14,,67100
112,ACIER LAMINE @ CHAUD    TUBE REC    4    2    0.188    288,5,TUBE REC,249.44,0.20332638888888888,,2021-08-11,,67688
113,ACIER LAMINE @ CHAUD    TUBE REC    6    2    0.25    288,5,TUBE REC,163.93,0.16545138888888888,,2020-09-17,,67728
114,ACIER LAMINE @ CHAUD    TUBE REC    6    3    0.25    288,5,TUBE REC,464.09,0.13482638888888887,,2021-06-16,,62432
115,ACIER LAMINE @ CHAUD    TUBE REC    8    3    0.25    288,5,TUBE REC,577.335,0.28847222222222224,,2021-06-16,,77358
116,ACIER LAMINE @ CHAUD    TUBE REC    8    4    0.25    288,5,TUBE REC,382.81,0.4838888888888889,,2020-05-11,,67796
117,"ACIER LAMINE @ CHAUD    TUYAU    1.05    0,1        288",5,TUYAU,12.95,0.2726388888888889,,2016-03-30,,08361
118,ACIER LAMINE @ CHAUD    TUYAU CÉD.40 NOIR A53 TESTÉ POUR LA PRESSION    CÉD.40            252,5,TUYAU CÉD.40 NOIR A53 TESTÉ POUR LA PRESSION,30.45,0.10711805555555556,,2020-05-05,,17674
119,"ACIER LAMINE @ CHAUD PLAT    0.375    6,000",5,PLAT,,0.7700347222222222,,2018-09-11,,
120,"ACIER LAMINE @ CHAUD PROFILE EN ''U'' 50W    4 X 5,4    240",5,PROFILE EN ''U'' 50W,75.55,0.36000000000000004,,2021-04-30,,22937
121,ACIER LAMINE @ FROID    CARRE    0.5    0.5        144,6,CARRE,11.63,1.6740798611111112,,2021-09-03,,11758
122,ACIER LAMINE @ FROID    CARRE    1    1        144,6,CARRE,48.88,1.403454861111111,,2021-06-16,,11782
123,ACIER LAMINE @ FROID    CARRE    2    2        144,6,CARRE,195.52,1.6740798611111112,,2021-06-16,,11808
124,ACIER LAMINE @ FROID    HEXAGONAL    1            144,6,HEXAGONAL,97.2,1.327013888888889,,03-09-2017,,12328
125,ACIER LAMINE @ FROID    HEXAGONAL    1.5            144,6,HEXAGONAL,176.16,3.168715277777778,,2016-05-01,,12344
126,ACIER LAMINE @ FROID    PLAT    0.25    2        144,6,PLAT,69.68,0.3876131944444444,,2021-08-11,,11948
127,"ACIER LAMINE @ FROID    PLAT    0.25    2,5        144",6,PLAT,44.54,0.2796527777777778,,2021-06-16,,11952
128,ACIER LAMINE @ FROID    PLAT    0.5    1        144,6,PLAT,36.89,0.3876131944444444,,2021-06-16,,12060
129,"ACIER LAMINE @ FROID    PLAT    0.5    1,5        144",6,PLAT,48.945,0.4657430555555555,,2021-11-12,,12066
130,ACIER LAMINE @ FROID    PLAT    0.5    1.25        144,6,PLAT,48.83,,,2021-09-03,,12064
131,ACIER LAMINE @ FROID    PLAT    0.5    2        144,6,PLAT,67.2175,0.35756944444444444,,2021-11-12,,12070
132,ACIER LAMINE @ FROID    PLAT    0.5    2-1/2        144,6,PLAT,84.125,0.5692013888888889,,2021-06-16,,12074
133,ACIER LAMINE @ FROID    PLAT    0.5    3        144,6,PLAT,100.62,1.611423611111111,,2021-06-16,,12078
134,ACIER LAMINE @ FROID    PLAT    0.5    4        144,6,PLAT,138.51,2.004635416666667,,2021-08-11,,12082
135,ACIER LAMINE @ FROID    PLAT    0.5    5        144,6,PLAT,173.35,1.5190873015873017,,2021-08-11,,12086
136,ACIER LAMINE @ FROID    PLAT    0.5    6        144,6,PLAT,201.899,,,2021-06-16,,12088
137,ACIER LAMINE @ FROID    PLAT    0.5    8        144,6,PLAT,,,,,,
138,ACIER LAMINE @ FROID    PLAT    0.625    6        144,6,PLAT,159.04,0.0,,2016-04-22,,12124
139,ACIER LAMINE @ FROID    PLAT    1    2        144,6,PLAT,134.435,0.5246527777777777,,2021-06-16,,12188
140,ACIER LAMINE @ FROID    PLAT    1    3        144,6,PLAT,201.24,0.0807638888888889,,2021-06-16,,12194
141,ACIER LAMINE @ FROID    PLAT    1    4        144,6,PLAT,277.44,0.33944444444444444,,2021-08-11,,12198
142,ACIER LAMINE @ FROID    PLAT    1    5        144,6,PLAT,344.66,1.3577777777777778,,2021-11-12,,12202
143,ACIER LAMINE @ FROID    PLAT    1    6        144,6,PLAT,403.576,0.675,,2021-11-12,,12204
144,ACIER LAMINE @ FROID    PLAT    1    8        144,6,PLAT,325.84,1.2233333333333334,,2016-08-09,,12206
145,ACIER LAMINE @ FROID    PLAT    1.25    4        144,6,PLAT,242.66,0.4838888888888889,,2020-09-17,,12226
146,ACIER LAMINE @ FROID    PLAT    1.5    1.5        144,6,PLAT,110.35,0.30930555555555556,,2021-04-28,,11798
147,ACIER LAMINE @ FROID    PLAT    1.5    4        144,6,PLAT,404.13,0.2561805555555556,,2021-06-16,,12246
148,ACIER LAMINE @ FROID    PLAT    1.5    5        144,6,PLAT,357.87,0.33989583333333334,,2017-12-01,,12248
149,"ACIER LAMINE @ FROID    PLAT    2    2,5        144",6,PLAT,265.1,0.3390972222222222,,2018-08-23,,12268
150,ACIER LAMINE @ FROID    PLAT    2    4        144,6,PLAT,537.74,0.46678819444444447,,2021-06-16,,12274
151,ACIER LAMINE @ FROID    PLAT    2.5    3        144,6,PLAT,455.79,0.5842013888888888,,2019-02-28,,12282
152,ACIER LAMINE @ FROID    PLAT    2X    4        144,6,PLAT,542.85,0.69875,,2019-04-05,,PL.L@F 2X4
153,ACIER LAMINE @ FROID    ROND    0.5            240,6,ROND,12.32,0.9618749999999999,,2020-06-09,,11334
154,ACIER LAMINE @ FROID    ROND    0.75            240,6,ROND,27.29,1.2038194444444443,,2020-10-07,,11376
155,ACIER LAMINE @ FROID    ROND    1            240,6,ROND,81.37,1.402076388888889,,2021-11-12,,11416
156,ACIER LAMINE @ FROID    ROND    1.25            240,6,ROND,97.47,0.0,,2021-05-11,,11456
157,ACIER LAMINE @ FROID    ROND    1.5            240,6,ROND,143.7,1.1044444444444443,,2021-06-16,,11492
158,"ACIER LAMINE @ FROID    TUBE MECANIQUE ROND    2    0,5        288",6,TUBE MECANIQUE ROND,506.4,0.9335763888888889,,2020-02-05,,66966
159,ACIER TREMPE 01    PLAT    0.125    3        36,7,PLAT,77,1.3975,,2019-10-01,,01-18336
160,ACIER TREMPE 01    PLAT    0.25    3        36,7,PLAT,95,1.9266666666666667,,2018-08-15,,01-14336
161,ACIER TREMPE 01    PLAT    0.5    3        36,7,PLAT,189,2.3934722222222224,,2018-01-03,,01-12336
162,ACIER TREMPE 01    PLAT    0.5    4        36,7,PLAT,120,2.802611111111111,,2016-02-19,,01-12436
163,ACIER TREMPE 01    PLAT    0.75    3        36,7,PLAT,189,2.2627777777777776,,02-08-2017,,01-34336
164,ACIER TREMPE 01    PLAT    1    2        36,7,PLAT,101,1.685138888888889,,2016-02-19,,01-1236
165,ACIER TREMPE 01    PLAT    1    3        36,7,PLAT,146,0.7663194444444444,,2016-02-19,,01-1336
166,ACIER TREMPE 01    PLAT    1    4        36,7,PLAT,192,2.8064583333333335,,2016-02-19,,01-1436
167,ACIER TREMPE 01    PLAT    1    5        36,7,PLAT,238,2.4852083333333335,,2016-02-19,,01-1536
168,ACIER TREMPE 01    PLAT    1    6        36,7,PLAT,379,1.8409722222222225,,2019-10-01,,01-1636
169,ACIER TREMPE D2    PLAT    0.25    3        36,8,PLAT,149,3.7343055555555558,,2021-03-15,,D2-14336
170,ACIER TREMPE D2    PLAT    0.3125    3        36,8,PLAT,119,1.8991250000000002,,2019-10-01,,01-516336
171,ACIER TREMPE D2    PLAT    0.5    3        36,8,PLAT,195,2.2618750000000003,,2021-03-15,,D2-12336
172,"ACIER TREMPE D2    PLAT    1    3,000        36",8,PLAT,259,0.051333333333333335,,2019-06-06,,D2-1336
173,ACIER TREMPE D2    PLAT    1    6        36,8,PLAT,395,0.11370833333333333,,2021-03-15,,D2-1636
174,"ALUMINIUM    EXTRUSION CARRÉ VIF    2    2,000    0.12    288",9,EXTRUSION CARRÉ VIF,100.1,0.3390416666666667,,2018-07-11,,56815
175,ALUMINIUM    PLAT    0.5    1        240,9,PLAT,33.84,0.3384375,,2020-04-29,,28770
176,ALUMINIUM    PLAT    0.5    6        240,9,PLAT,224.36,3.9916666666666663,,2021-04-08,,43096
177,"ALUMINIUM    PLAT    0.5    8,000        144",9,PLAT,187.6,14.066666666666666,,2019-09-04,,75540
178,"ALUMINIUM    PLAT    0.75    8,000        144",9,PLAT,310.25,2.138888888888889,,2021-06-07,,73702
179,"ALUMINIUM    PLAT    1    1,000        240",9,PLAT,67.68,2.638888888888889,,2018-11-20,,43152
180,"ALUMINIUM    PLAT    1    6,000        240",9,PLAT,406.08,5.25,,2018-11-20,,73916
181,"ALUMINIUM    PLAT    1.5    1,5        144",9,PLAT,100.8,3.3333333333333335,,2021-04-08,,20188
182,ALUMINIUM    PLAT    2    2        240,9,PLAT,280.12,5.25,,2021-03-08,,43158
183,"ALUMINIUM    PLAT    2    2,500        144",9,PLAT,262.7,2.8055555555555554,,2019-03-14,,81044
184,"ALUMINIUM    PLAT    2    3,000        144",9,PLAT,339.15,4.055555555555555,,2021-03-08,,82232
185,"ALUMINIUM    PLAT    2    4,000        144",9,PLAT,450.87,5.333333333333333,,2021-03-08,,73802
186,"ALUMINIUM    PLAT    2    5,000        144",9,PLAT,485,6.611111111111111,,2017-12-22,,08804
187,"ALUMINIUM    PLAT    2    6,000        144",9,PLAT,574.6,10.527777777777779,,2019-11-04,,05464
188,ALUMINIUM    PLAT    3    4        144,9,PLAT,690.27,4.138888888888889,,2021-03-08,,40961
189,"ALUMINIUM    PLAT    3    5,000        144",9,PLAT,785,3.3055555555555554,,2019-01-03,,00738
190,"ALUMINIUM    PLAT    3    6,000        144",9,PLAT,655.27,5.416666666666667,,2016-04-22,,57349
191,ALUMINIUM    PLAT    4    1        144,9,PLAT,266.96,0.8993055555555556,,2020-02-27,,28790
192,"ALUMINIUM    PLAT    4    4,000        144",9,PLAT,533.36,1.6458333333333333,,2016-03-30,,20198
193,"ALUMINIUM    PLAT    4    5,000        144",9,PLAT,972.9,0.4170833333333333,,2019-01-03,,48286
194,"ALUMINIUM    PLAT    4    6,000        144",9,PLAT,1213.42,0.23500000000000001,,2021-04-28,,19969
195,"ALUMINIUM    PLAT    5    5,000        144",9,PLAT,1020.17,1.5580555555555557,,2017-05-08,,82210
196,"ALUMINIUM    PLAT    6    6,000        144",9,PLAT,797.68,0.7816666666666666,,2016-03-30,,58
197,ALUMINIUM    ROND    6    12,9,ROND,165.95,,,2021-04-07,,8974K6
198,ANODISATION    COULEUR BLEU,10,COULEUR BLEU,0,,,2019-01-28,,ANODISATION BLEU
199,ANODISATION    COULEUR CLAIRE,10,COULEUR CLAIRE,0,,,2016-01-28,,ANODISATION CLAIRE
200,ANODISATION    COULEUR GOLD,10,COULEUR GOLD,0,,,2019-03-04,,ANODISATION GOLD
201,ANODISATION    COULEUR ROUGE,10,COULEUR ROUGE,0,,,2016-10-25,,ANODISATION ROUGE
202,CABLE    CABLE TYPE PVC PVC 18/12C,11,CABLE TYPE PVC PVC 18/12C,3.4,,,2018-08-23,,PVCPVC1812
203,COLLE    Double Sided Acrylic Foam Tape	22mm x 18m (7/8'' x 60') .8mm (.030''),12,Double Sided Acrylic Foam Tape	22mm x 18m (7/8'' x 60') .8mm (.030''),35.74,,,2020-02-05,,PF952
204,COLLE    general purpose epoxy that bonds virtually any materia,12,general purpose epoxy that bonds virtually any materia,10.06,,,2016-08-29,,EA9017
205,COLLE    LOCTITE BLEU #24231,12,LOCTITE BLEU #24231,44.88,,,2016-10-06,,24231
206,CONSOMMABLE    BOUTELLE D ARGON,13,BOUTELLE D ARGON,,,,,,
207,CONSOMMABLE    CANNON DE PERCAGE 5/16,13,CANNON DE PERCAGE 5/16,16.48,,,2020-01-29,,U-JBHP0.31-L0.75
208,CONSOMMABLE    CARTOUCHE D ENCRE 137,13,CARTOUCHE D ENCRE 137,,,,,,
209,CONSOMMABLE    COATING CLEAR POUR CARROSSERIE KRYLON IND.,13,COATING CLEAR POUR CARROSSERIE KRYLON IND.,5.8,,,2016-01-19,,01000
210,CONSOMMABLE    COLLE EPOXY CLAIRE,13,COLLE EPOXY CLAIRE,18.19,,,2018-06-27,,373F3
211,CONSOMMABLE    COURROIE POWERMAX VAR,13,COURROIE POWERMAX VAR,204.77,,,2018-11-10,,2430V354
212,CONSOMMABLE    EMBALLAGE CRATE,13,EMBALLAGE CRATE,20,,,2016-04-06,,FRACRATE
213,CONSOMMABLE    E-WELD ANT ÉCLABOUSSURE,13,E-WELD ANT ÉCLABOUSSURE,10.4,,,2021-06-16,,53F002
214,CONSOMMABLE    FILTRE 13 X 13,13,FILTRE 13 X 13,61.87,,,,,PFF60000
215,CONSOMMABLE    FRAIS DE DOUANE/TRANSPORT,13,FRAIS DE DOUANE/TRANSPORT,,,,,,FRAIS DE DOUANE/TRANSPORT
216,CONSOMMABLE    GAINE 030 035 42-3035-15 / LINER,13,GAINE 030 035 42-3035-15 / LINER,30.35,,,2021-06-18,,1420-1140
217,CONSOMMABLE    gallon de dégraisseur nettoyeur industriel à diluer,13,gallon de dégraisseur nettoyeur industriel à diluer,41.82,,,2020-07-07,,5900L2
218,CONSOMMABLE    GARNITURE DE FINITION JIMEXS,13,GARNITURE DE FINITION JIMEXS,0.79,,,2018-10-01,,652-601
219,CONSOMMABLE    GUENILLES,13,GUENILLES,15.95,,,2018-04-23,,2905142
220,CONSOMMABLE    GUENILLES 25 LBS,13,GUENILLES 25 LBS,19.5,,,2021-03-05,,BX25C
221,"CONSOMMABLE    HBLBS6    Brackets - 6 Series, Blind Brackets (MISUMI)",13,HBLBS6,8.42,,,2021-09-27,,HBLBS6
222,"CONSOMMABLE    HBLBS8    Brackets - 8 Series, Blind Brackets (MISUMI)",13,HBLBS8,9.57,,,2021-09-27,,HBLBS8
223,CONSOMMABLE    PEINTURE CANETTE 0.100LT CONVERTER 6020 BESA-VAL CT:259 RAL 3002 ROUGE CARMIN - N,13,PEINTURE CANETTE 0.100LT CONVERTER 6020 BESA-VAL CT:259 RAL 3002 ROUGE CARMIN - N,15.2,,,2019-04-03,,RAL 3002
