id,produit_id,dimension1,dimension2,dimension3,longueur,unite
221,221,"Brackets - 6 Series, Blind Brackets (MISUMI)",,,,mm
222,222,"Brackets - 8 Series, Blind Brackets (MISUMI)",,,,mm
223,223,,,,,mm
224,224,,,,,mm
225,225,,,,,mm
226,226,,,,,mm
227,227,,,,,mm
228,228,,,,,mm
229,229,,,,,mm
230,230,,,,,mm
231,231,,,,,mm
232,232,,,,,mm
233,233,External Aluminum Pipe Handles (MISUMI),,,,mm
234,234,External Aluminum Pipe Handles (MISUMI),,,,mm
235,235,,,,,po
236,236,,,,,po
237,237,,,,,mm
238,238,,,,,mm
239,239,,,,,mm
240,240,,,,,mm
241,241,,,,,po
242,242,,,,,po
243,243,,,,,po
244,244,,,,,po
245,245,,,,,po
246,246,,,,,po
247,247,,,,,po
248,248,,,,,po
249,249,,,,,po
250,250,,,,,po
251,251,,,,,po
252,252,,,,,po
253,253,20,16,8,,po
254,254,,,,,po
255,255,,,,,po
256,256,,,,,mm
257,257,,,,,po
258,258,,,,,po
259,259,,,,,po
260,260,,,,,po
261,261,,,,,po
262,262,,,,,po
263,263,,,,,po
264,264,,,,,po
265,265,E2033S.41.10,,,,po
266,266,,,,,po
267,267,S2112‎,,,,mm
268,268,,,,,po
269,269,,,,,po
270,270,,,,,po
271,271,,,,,po
272,272,,,,,po
273,273,,,,,po
274,274,,,,,mm
275,275,,,,,po
276,276,,,,,po
277,277,,,,,mm
278,278,Wago,,,,po
279,279,,,,,po
280,280,,,,,po
281,281,,,,,po
282,282,,,,,po
283,283,,,,,po
284,284,,,,,po
285,285,,,,,po
286,286,,,,,po
287,287,,,,,po
288,288,,,,,po
289,289,,,,,mm
290,290,,,,,mm
291,291,20 pieds,,,,po
292,292,,,,,po
293,293,,,,,po
294,294,,,,,po
295,295,,,,,po
296,296,,,,,mm
297,297,,,,,po
298,298,Xcelite / Apex,,,,po
299,299,,,,,po
300,300,,,,,po
301,301,,,,,mm
302,302,,,,,po
303,303,,,,,po
304,304,,,,,po
305,305,,,,,po
306,306,,,,,po
307,307,,,,,po
308,308,,,,,po
309,309,,,,,po
310,310,,,,,po
311,311,,,,,po
312,312,,,,,po
313,313,,,,,po
314,314,,,,,po
315,315,,,,,po
316,316,,,,,po
317,317,,,,,po
318,318,,,,,po
319,319,,,,,po
320,320,,,,,po
321,321,,,,,mm
322,322,,,,,po
323,323,,,,,po
324,324,,,,,po
325,325,,,,,po
326,326,,,,,po
327,327,,,,,po
